match,Mumbai Indians,Mumbai Indians_comments,Delhi Daredevils,Delhi Daredevils_comments,Deccan Chargers,Deccan Chargers_comments,Rajasthan Royals,Rajasthan Royals_comments,Royal Challengers Bangalore,Royal Challengers Bangalore_comments,Chennai Super Kings,Chennai Super Kings_comments,Kolkata Knight Riders,Kolkata Knight Riders_comments,Kings XI Punjab,Kings XI Punjab_comments
0,0,,0,,0,,0,,0,,0,,0,,0,
1,0,Mumbai Indians Vs Royal Challengers BangaloreRoyal Challengers Bangalore Wins,2,Rajasthan Royals Vs Delhi DaredevilsDelhi Daredevils Wins,0,Deccan Chargers Vs Kolkata Knight RidersKolkata Knight Riders Wins,0,Rajasthan Royals Vs Delhi DaredevilsDelhi Daredevils Wins,2,Mumbai Indians Vs Royal Challengers BangaloreRoyal Challengers Bangalore Wins,2,Chennai Super Kings Vs Kings XI PunjabChennai Super Kings Wins,4,Deccan Chargers Vs Kolkata Knight RidersKolkata Knight Riders Wins,0,Chennai Super Kings Vs Kings XI PunjabChennai Super Kings Wins
2,0,Kings XI Punjab Vs Mumbai IndiansKings XI Punjab Wins,4,Deccan Chargers Vs Delhi DaredevilsDelhi Daredevils Wins,0,Deccan Chargers Vs Rajasthan RoyalsRajasthan Royals Wins,6,Royal Challengers Bangalore Vs Rajasthan RoyalsRajasthan Royals Wins,2,Royal Challengers Bangalore Vs Rajasthan RoyalsRajasthan Royals Wins,6,Kolkata Knight Riders Vs Chennai Super KingsChennai Super Kings Wins,4,Kolkata Knight Riders Vs Chennai Super KingsChennai Super Kings Wins,2,Kings XI Punjab Vs Mumbai IndiansKings XI Punjab Wins
3,2,Kolkata Knight Riders Vs Mumbai IndiansMumbai Indians Wins,6,Delhi Daredevils Vs Royal Challengers BangaloreDelhi Daredevils Wins,2,Deccan Chargers Vs Kings XI PunjabKings XI Punjab Wins,8,Rajasthan Royals Vs Kolkata Knight RidersRajasthan Royals Wins,2,Delhi Daredevils Vs Royal Challengers BangaloreDelhi Daredevils Wins,8,Chennai Super Kings Vs Royal Challengers BangaloreChennai Super Kings Wins,4,Rajasthan Royals Vs Kolkata Knight RidersRajasthan Royals Wins,6,Deccan Chargers Vs Kings XI PunjabKings XI Punjab Wins
4,4,Mumbai Indians Vs Delhi DaredevilsMumbai Indians Wins,8,Mumbai Indians Vs Delhi DaredevilsMumbai Indians Wins,2,Deccan Chargers Vs Royal Challengers BangaloreRoyal Challengers Bangalore Wins,10,Chennai Super Kings Vs Rajasthan RoyalsRajasthan Royals Wins,4,Deccan Chargers Vs Royal Challengers BangaloreRoyal Challengers Bangalore Wins,8,Chennai Super Kings Vs Rajasthan RoyalsRajasthan Royals Wins,4,Kings XI Punjab Vs Kolkata Knight RidersKings XI Punjab Wins,8,Kings XI Punjab Vs Kolkata Knight RidersKings XI Punjab Wins
5,6,Rajasthan Royals Vs Mumbai IndiansMumbai Indians Wins,8,Delhi Daredevils Vs Chennai Super KingsChennai Super Kings Wins,4,Chennai Super Kings Vs Deccan ChargersDeccan Chargers Wins,10,Rajasthan Royals Vs Mumbai IndiansMumbai Indians Wins,4,Kolkata Knight Riders Vs Royal Challengers BangaloreKolkata Knight Riders Wins,10,Delhi Daredevils Vs Chennai Super KingsChennai Super Kings Wins,6,Kolkata Knight Riders Vs Royal Challengers BangaloreKolkata Knight Riders Wins,10,Royal Challengers Bangalore Vs Kings XI PunjabKings XI Punjab Wins
6,8,Royal Challengers Bangalore Vs Mumbai IndiansMumbai Indians Wins,8,Delhi Daredevils Vs Rajasthan RoyalsRajasthan Royals Wins,4,Kolkata Knight Riders Vs Deccan ChargersKolkata Knight Riders Wins,14,Delhi Daredevils Vs Rajasthan RoyalsRajasthan Royals Wins,4,Royal Challengers Bangalore Vs Mumbai IndiansMumbai Indians Wins,12,Chennai Super Kings Vs Kings XI PunjabChennai Super Kings Wins,8,Kolkata Knight Riders Vs Deccan ChargersKolkata Knight Riders Wins,10,Chennai Super Kings Vs Kings XI PunjabChennai Super Kings Wins
7,10,Chennai Super Kings Vs Mumbai IndiansMumbai Indians Wins,10,Delhi Daredevils Vs Deccan ChargersDelhi Daredevils Wins,4,Delhi Daredevils Vs Deccan ChargersDelhi Daredevils Wins,14,Kings XI Punjab Vs Rajasthan RoyalsKings XI Punjab Wins,4,Royal Challengers Bangalore Vs Kings XI PunjabKings XI Punjab Wins,12,Chennai Super Kings Vs Mumbai IndiansMumbai Indians Wins,10,Kolkata Knight Riders Vs Delhi DaredevilsKolkata Knight Riders Wins,14,Kings XI Punjab Vs Rajasthan RoyalsKings XI Punjab Wins
8,14,Mumbai Indians Vs Deccan ChargersMumbai Indians Wins,10,Delhi Daredevils Vs Kings XI PunjabKings XI Punjab Wins,4,Mumbai Indians Vs Deccan ChargersMumbai Indians Wins,16,Rajasthan Royals Vs Royal Challengers BangaloreRajasthan Royals Wins,4,Rajasthan Royals Vs Royal Challengers BangaloreRajasthan Royals Wins,14,Kolkata Knight Riders Vs Chennai Super KingsChennai Super Kings Wins,10,Kolkata Knight Riders Vs Chennai Super KingsChennai Super Kings Wins,16,Delhi Daredevils Vs Kings XI PunjabKings XI Punjab Wins
9,14,Kings XI Punjab Vs Mumbai IndiansKings XI Punjab Wins,12,Royal Challengers Bangalore Vs Delhi DaredevilsDelhi Daredevils Wins,4,Deccan Chargers Vs Kings XI PunjabKings XI Punjab Wins,18,Kolkata Knight Riders Vs Rajasthan RoyalsRajasthan Royals Wins,6,Royal Challengers Bangalore Vs Chennai Super KingsRoyal Challengers Bangalore Wins,14,Royal Challengers Bangalore Vs Chennai Super KingsRoyal Challengers Bangalore Wins,10,Kolkata Knight Riders Vs Rajasthan RoyalsRajasthan Royals Wins,20,Deccan Chargers Vs Kings XI PunjabKings XI Punjab Wins
