match,Kolkata Knight Riders,Mumbai Indians,Delhi Daredevils,Chennai Super Kings,Royal Challengers Bangalore,Kings XI Punjab,Deccan Chargers,Rajasthan Royals
1,0,2,0,0,0,0,0,0
2,0,2,0,0,2,0,0,0
3,0,2,2,0,2,0,0,0
4,0,2,2,0,2,0,2,0
5,0,2,2,2,2,0,2,0
6,2,2,2,2,2,0,2,0
7,2,2,2,2,2,0,4,0
8,2,2,4,2,2,0,4,0
9,2,2,4,2,2,0,4,2
10,2,2,4,2,2,2,4,2
11,2,2,4,2,2,2,6,2
12,2,2,6,2,2,2,6,2
13,2,2,6,2,2,4,6,2
14,2,2,6,2,2,4,8,2
15,2,4,6,2,2,4,8,2
16,2,4,6,2,2,4,8,4
17,2,4,6,2,4,4,8,4
18,2,4,6,2,4,6,8,4
19,2,4,8,2,4,6,8,4
20,2,4,8,4,4,6,8,4
21,2,6,8,4,4,6,8,4
22,2,6,8,4,6,6,8,4
23,2,6,8,4,6,6,8,6
24,2,6,8,6,6,6,8,6
25,2,6,8,6,6,8,8,6
26,2,6,8,6,8,8,8,6
27,2,6,8,8,8,8,8,6
28,2,6,8,8,8,8,8,8
29,2,6,10,8,8,8,8,8
30,2,6,10,8,8,8,10,8
31,2,6,10,8,8,8,10,10
32,2,6,10,10,8,8,10,10
33,2,6,12,10,8,8,10,10
34,2,6,12,10,8,10,10,10
35,2,6,12,12,8,10,10,10
36,2,8,12,12,8,10,10,10
37,2,8,14,12,8,10,10,10
38,2,8,14,12,8,10,12,10
39,2,8,14,12,10,10,12,10
40,2,10,14,12,10,10,12,10
41,2,10,16,12,10,10,12,10
42,2,10,16,12,12,10,12,10
43,2,10,16,12,12,10,12,12
44,2,10,16,12,12,12,12,12
45,2,10,16,14,12,12,12,12
46,2,10,16,14,12,12,14,12
47,2,10,16,14,12,14,14,12
48,2,10,18,14,12,14,14,12
49,4,10,18,14,12,14,14,12
50,4,10,18,14,14,14,14,12
51,6,10,18,14,14,14,14,12
52,6,10,18,16,14,14,14,12
53,6,10,20,16,14,14,14,12
54,6,10,20,16,16,14,14,12
55,6,10,20,16,16,14,16,12
56,6,10,20,16,18,14,16,12
57,6,10,20,16,18,14,18,12
