match,Deccan Chargers,Kolkata Knight Riders,Kings XI Punjab,Royal Challengers Bangalore,Delhi Daredevils,Mumbai Indians,Chennai Super Kings,Rajasthan Royals
1,0,2,0,0,0,0,0,0
2,0,2,0,0,0,2,0,0
3,0,2,0,0,2,2,0,0
4,0,4,0,0,2,2,0,0
5,2,4,0,0,2,2,0,0
6,2,4,0,0,4,2,0,0
7,2,4,0,2,4,2,0,0
8,2,4,0,2,4,2,2,0
9,2,4,0,2,4,4,2,0
10,2,4,0,4,4,4,2,0
11,2,4,0,4,4,4,4,0
12,4,4,0,4,4,4,4,0
13,4,4,0,4,4,4,4,2
14,4,4,0,6,4,4,4,2
15,6,4,0,6,4,4,4,2
16,6,4,2,6,4,4,4,2
17,6,4,2,6,4,6,4,2
18,6,4,2,8,4,6,4,2
19,6,4,2,8,4,6,4,4
20,6,4,2,8,4,8,4,4
21,6,4,2,8,4,8,4,6
22,6,6,2,8,4,8,4,6
23,6,6,2,8,6,8,4,6
24,6,6,2,8,6,8,4,8
25,6,6,2,8,6,10,4,8
26,6,6,2,8,8,10,4,8
27,6,6,2,8,8,12,4,8
28,6,6,2,8,8,12,6,8
29,6,6,2,8,10,12,6,8
30,6,8,2,8,10,12,6,8
31,6,8,2,10,10,12,6,8
32,6,8,2,10,10,12,8,8
33,6,8,2,10,10,14,8,8
34,6,8,4,10,10,14,8,8
35,6,8,4,10,12,14,8,8
36,6,8,4,10,12,14,8,10
37,6,8,4,10,12,14,10,10
38,6,8,4,10,12,14,10,12
39,6,10,4,10,12,14,10,12
40,8,10,4,10,12,14,10,12
41,8,10,6,10,12,14,10,12
42,10,10,6,10,12,14,10,12
43,10,10,6,12,12,14,10,12
44,10,10,8,12,12,14,10,12
45,10,10,8,12,12,16,10,12
46,12,10,8,12,12,16,10,12
47,12,10,8,12,12,18,10,12
48,12,10,8,12,12,18,12,12
49,12,10,8,14,12,18,12,12
50,12,10,8,14,14,18,12,12
51,14,10,8,14,14,18,12,12
52,14,10,8,14,14,20,12,12
53,14,12,8,14,14,20,12,12
54,14,12,8,14,14,20,14,12
55,16,12,8,14,14,20,14,12
56,16,14,8,14,14,20,14,12
57,16,14,8,14,14,22,14,12
58,16,14,8,14,14,22,16,12
59,16,14,8,16,14,22,16,12
60,16,14,8,16,14,22,18,12
