match,Kings XI Punjab,Delhi Daredevils,Pune Warriors,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,Kochi Tuskers Kerala,Deccan Chargers,Royal Challengers Bangalore,Kolkata Knight Riders
1,0,0,0,0,0,2,0,0,0,0
2,0,0,0,0,2,2,0,0,0,0
3,0,0,0,0,2,2,0,0,2,0
4,0,0,0,2,2,2,0,0,2,0
5,0,0,2,2,2,2,0,0,2,0
6,0,0,2,2,2,2,0,0,2,2
7,0,0,2,2,4,2,0,0,2,2
8,0,0,2,4,4,2,0,0,2,2
9,2,0,2,4,4,2,0,0,2,2
10,2,0,4,4,4,2,0,0,2,2
11,2,0,4,4,4,2,0,2,2,2
12,2,0,4,4,4,2,0,2,2,4
13,2,0,4,4,4,2,2,2,2,4
14,2,0,4,4,4,4,2,2,2,4
15,4,0,4,4,4,4,2,2,2,4
16,4,2,4,4,4,4,2,2,2,4
17,4,2,4,4,4,4,2,2,2,6
18,4,2,4,4,4,4,4,2,2,6
19,4,2,4,4,4,4,4,4,2,6
20,4,2,4,6,4,4,4,4,2,6
21,4,2,4,6,4,4,6,4,2,6
22,6,2,4,6,4,4,6,4,2,6
23,6,2,4,8,4,4,6,4,2,6
24,6,2,4,8,4,4,6,4,4,6
25,6,4,4,8,4,4,6,4,4,6
26,6,4,4,10,4,4,6,4,4,6
27,6,4,4,10,6,4,6,4,4,6
28,6,4,4,10,6,6,6,4,4,6
29,6,4,4,10,6,6,6,4,6,6
30,6,4,4,10,6,8,6,4,6,6
31,6,4,4,10,6,8,6,6,6,6
32,6,4,4,10,6,8,6,6,6,8
33,6,4,4,10,8,8,6,6,6,8
34,6,4,4,10,8,8,6,6,8,8
35,6,6,4,10,8,8,6,6,8,8
36,6,6,4,10,8,8,6,6,8,10
37,6,6,4,10,10,8,6,6,8,10
38,6,6,4,10,10,10,6,6,8,10
39,6,6,4,12,10,10,6,6,8,10
40,6,6,4,12,10,10,8,6,8,10
41,6,6,4,12,10,10,8,6,8,12
42,6,6,4,12,10,12,8,6,8,12
43,6,6,4,14,10,12,8,6,8,12
44,6,6,4,14,10,12,10,6,8,12
45,6,8,4,14,10,12,10,6,8,12
46,6,8,4,14,10,12,10,6,10,12
47,6,8,4,14,10,12,10,6,10,14
48,6,8,4,16,10,12,10,6,10,14
49,6,8,4,16,10,12,10,6,12,14
50,6,8,6,16,10,12,10,6,12,14
51,6,8,6,16,10,14,10,6,12,14
52,6,8,8,16,10,14,10,6,12,14
53,8,8,8,16,10,14,10,6,12,14
54,8,8,8,16,10,14,10,6,14,14
55,8,8,8,16,10,16,10,6,14,14
56,10,8,8,16,10,16,10,6,14,14
57,10,8,8,16,10,16,10,6,16,14
58,10,8,8,16,10,16,10,8,16,14
59,12,8,8,16,10,16,10,8,16,14
60,12,8,8,16,10,16,12,8,16,14
61,12,8,8,16,10,16,12,10,16,14
62,14,8,8,16,10,16,12,10,16,14
63,14,8,8,16,10,18,12,10,16,14
64,14,8,8,16,10,18,12,10,16,16
65,14,8,8,16,12,18,12,10,16,16
66,14,8,8,16,12,18,12,12,16,16
67,14,9,9,16,12,18,12,12,16,16
68,14,9,9,16,12,18,12,12,18,16
69,14,9,9,18,12,18,12,12,18,16
70,14,9,9,18,12,20,12,12,18,16
71,14,9,9,20,12,20,12,12,18,16
72,14,9,9,20,12,20,12,12,20,16
73,14,9,9,20,12,22,12,12,20,16
