match,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,Rajasthan Royals,Delhi Daredevils,Pune Warriors,Kings XI Punjab,Kolkata Knight Riders,Chennai Super Kings
1,0,0,0,0,0,0,0,2,0
2,2,0,0,0,0,0,0,2,0
3,2,2,0,0,0,0,0,2,0
4,2,2,0,2,0,0,0,2,0
5,2,2,2,2,0,0,0,2,0
6,2,2,2,2,0,0,2,2,0
7,2,4,2,2,0,0,2,2,0
8,2,4,2,4,0,0,2,2,0
9,2,4,4,4,0,0,2,2,0
10,2,4,4,4,0,0,2,2,2
11,4,4,4,4,0,0,2,2,2
12,4,4,4,4,0,2,2,2,2
13,4,6,4,4,0,2,2,2,2
14,4,6,6,4,0,2,2,2,2
15,4,6,6,4,0,2,2,2,4
16,4,6,6,4,0,2,2,4,4
17,4,6,6,6,0,2,2,4,4
18,4,6,6,6,0,4,2,4,4
19,4,6,6,6,0,4,4,4,4
20,6,6,6,6,0,4,4,4,4
21,6,8,6,6,0,4,4,4,4
22,6,8,6,8,0,4,4,4,4
23,6,8,6,8,0,4,4,4,6
24,6,10,6,8,0,4,4,4,6
25,6,10,6,8,0,4,4,4,8
26,8,10,6,8,0,4,4,4,8
27,8,10,6,8,2,4,4,4,8
28,8,10,6,8,2,4,6,4,8
29,8,10,6,8,2,4,6,4,10
30,10,10,6,8,2,4,6,4,10
31,10,10,6,8,2,4,8,4,10
32,10,10,8,8,2,4,8,4,10
33,10,10,8,8,2,4,8,4,12
34,10,10,8,8,2,4,8,6,12
35,10,10,8,10,2,4,8,6,12
36,10,10,10,10,2,4,8,6,12
37,10,10,10,10,2,4,8,6,14
38,10,10,10,10,4,4,8,6,14
39,10,10,10,12,4,4,8,6,14
40,10,10,12,12,4,4,8,6,14
41,10,10,12,12,4,4,8,6,16
42,10,12,12,12,4,4,8,6,16
43,10,12,12,12,6,4,8,6,16
44,10,12,12,12,6,4,8,6,18
45,12,12,12,12,6,4,8,6,18
46,12,12,12,12,6,4,8,8,18
47,12,14,12,12,6,4,8,8,18
48,12,14,12,12,6,4,10,8,18
49,12,14,14,12,6,4,10,8,18
50,12,14,14,14,6,4,10,8,18
51,14,14,14,14,6,4,10,8,18
52,14,14,14,16,6,4,10,8,18
53,14,14,16,16,6,4,10,8,18
54,14,14,16,16,6,4,10,8,20
55,14,14,16,18,6,4,10,8,20
56,14,14,16,18,6,4,10,10,20
57,16,14,16,18,6,4,10,10,20
58,16,14,18,18,6,4,10,10,20
59,16,16,18,18,6,4,10,10,20
60,16,16,18,18,6,4,10,12,20
61,16,16,18,20,6,4,10,12,20
62,16,16,18,20,6,4,12,12,20
63,16,16,20,20,6,4,12,12,20
64,16,16,20,20,6,6,12,12,20
65,16,16,20,20,6,6,12,12,22
66,16,16,22,20,6,6,12,12,22
67,16,16,22,20,6,6,14,12,22
68,16,18,22,20,6,6,14,12,22
69,16,18,22,20,6,6,16,12,22
70,16,18,22,20,6,8,16,12,22
71,18,18,22,20,6,8,16,12,22
72,18,20,22,20,6,8,16,12,22
73,18,20,22,20,6,8,16,12,24
74,18,20,22,22,6,8,16,12,24
75,18,20,24,22,6,8,16,12,24
76,18,20,26,22,6,8,16,12,24
