Rajasthan Royals,Rajasthan Royals_comments,match,Kolkata Knight Riders,Kolkata Knight Riders_comments,Mumbai Indians,Mumbai Indians_comments,Sunrisers Hyderabad,Sunrisers Hyderabad_comments,Delhi Daredevils,Delhi Daredevils_comments,Kings XI Punjab,Kings XI Punjab_comments,Chennai Super Kings,Chennai Super Kings_comments,Royal Challengers Bangalore,Royal Challengers Bangalore_comments
0,,0,0,,0,,0,,0,,0,,0,,0,
2,Sunrisers Hyderabad Vs Rajasthan Royals<br>Rajasthan Royals Won,1,2,Kolkata Knight Riders Vs Mumbai Indians<br>Kolkata Knight Riders Won,0,Kolkata Knight Riders Vs Mumbai Indians<br>Mumbai Indians Lost,0,Sunrisers Hyderabad Vs Rajasthan Royals<br>Sunrisers Hyderabad Lost,0,Delhi Daredevils Vs Royal Challengers Bangalore<br>Delhi Daredevils Lost,2,Chennai Super Kings Vs Kings XI Punjab<br>Kings XI Punjab Won,0,Chennai Super Kings Vs Kings XI Punjab<br>Chennai Super Kings Lost,2,Delhi Daredevils Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won
2,Rajasthan Royals Vs Kings XI Punjab<br>Rajasthan Royals Lost,2,2,Kolkata Knight Riders Vs Delhi Daredevils<br>Kolkata Knight Riders Lost,0,Mumbai Indians Vs Royal Challengers Bangalore<br>Mumbai Indians Lost,0,Kings XI Punjab Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Lost,2,Kolkata Knight Riders Vs Delhi Daredevils<br>Delhi Daredevils Won,4,Rajasthan Royals Vs Kings XI Punjab<br>Kings XI Punjab Won,2,Chennai Super Kings Vs Delhi Daredevils<br>Chennai Super Kings Won,4,Mumbai Indians Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won
2,Chennai Super Kings Vs Rajasthan Royals<br>Rajasthan Royals Lost,3,4,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Kolkata Knight Riders Won,0,Mumbai Indians Vs Chennai Super Kings<br>Mumbai Indians Lost,2,Sunrisers Hyderabad Vs Delhi Daredevils<br>Sunrisers Hyderabad Won,2,Chennai Super Kings Vs Delhi Daredevils<br>Delhi Daredevils Lost,6,Kings XI Punjab Vs Sunrisers Hyderabad<br>Kings XI Punjab Won,4,Chennai Super Kings Vs Rajasthan Royals<br>Chennai Super Kings Won,4,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost
4,Royal Challengers Bangalore Vs Rajasthan Royals<br>Rajasthan Royals Won,4,4,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,0,Mumbai Indians Vs Delhi Daredevils<br>Mumbai Indians Lost,2,Sunrisers Hyderabad Vs Chennai Super Kings<br>Sunrisers Hyderabad Lost,2,Sunrisers Hyderabad Vs Delhi Daredevils<br>Delhi Daredevils Lost,8,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Won,6,Mumbai Indians Vs Chennai Super Kings<br>Chennai Super Kings Won,4,Royal Challengers Bangalore Vs Rajasthan Royals<br>Royal Challengers Bangalore Lost
6,Rajasthan Royals Vs Kolkata Knight Riders<br>Rajasthan Royals Won,5,4,Rajasthan Royals Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,0,Sunrisers Hyderabad Vs Mumbai Indians<br>Mumbai Indians Lost,4,Sunrisers Hyderabad Vs Mumbai Indians<br>Sunrisers Hyderabad Won,4,Mumbai Indians Vs Delhi Daredevils<br>Delhi Daredevils Won,10,Royal Challengers Bangalore Vs Kings XI Punjab<br>Kings XI Punjab Won,8,Sunrisers Hyderabad Vs Chennai Super Kings<br>Chennai Super Kings Won,4,Royal Challengers Bangalore Vs Kings XI Punjab<br>Royal Challengers Bangalore Lost
8,Delhi Daredevils Vs Rajasthan Royals<br>Rajasthan Royals Won,6,4,Chennai Super Kings Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,2,Kings XI Punjab Vs Mumbai Indians<br>Mumbai Indians Won,4,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Sunrisers Hyderabad Lost,4,Delhi Daredevils Vs Rajasthan Royals<br>Delhi Daredevils Lost,10,Kings XI Punjab Vs Mumbai Indians<br>Kings XI Punjab Lost,10,Chennai Super Kings Vs Kolkata Knight Riders<br>Chennai Super Kings Won,6,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won
10,Rajasthan Royals Vs Kolkata Knight Riders<br>Rajasthan Royals Won,7,4,Rajasthan Royals Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,4,Mumbai Indians Vs Royal Challengers Bangalore<br>Mumbai Indians Won,6,Sunrisers Hyderabad Vs Rajasthan Royals<br>Sunrisers Hyderabad Won,4,Delhi Daredevils Vs Chennai Super Kings<br>Delhi Daredevils Lost,12,Kings XI Punjab Vs Chennai Super Kings<br>Kings XI Punjab Won,12,Delhi Daredevils Vs Chennai Super Kings<br>Chennai Super Kings Won,6,Mumbai Indians Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost
10,Sunrisers Hyderabad Vs Rajasthan Royals<br>Rajasthan Royals Lost,8,6,Delhi Daredevils Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,4,Mumbai Indians Vs Chennai Super Kings<br>Mumbai Indians Lost,8,Delhi Daredevils Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Won,4,Delhi Daredevils Vs Kolkata Knight Riders<br>Delhi Daredevils Lost,14,Kings XI Punjab Vs Royal Challengers Bangalore<br>Kings XI Punjab Won,12,Kings XI Punjab Vs Chennai Super Kings<br>Chennai Super Kings Lost,6,Kings XI Punjab Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost
12,Royal Challengers Bangalore Vs Rajasthan Royals<br>Rajasthan Royals Won,9,8,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,6,Sunrisers Hyderabad Vs Mumbai Indians<br>Mumbai Indians Won,8,Sunrisers Hyderabad Vs Mumbai Indians<br>Sunrisers Hyderabad Lost,4,Delhi Daredevils Vs Sunrisers Hyderabad<br>Delhi Daredevils Lost,14,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Lost,14,Mumbai Indians Vs Chennai Super Kings<br>Chennai Super Kings Won,6,Royal Challengers Bangalore Vs Rajasthan Royals<br>Royal Challengers Bangalore Lost
