Chennai Super Kings,Chennai Super Kings_comments,match,Delhi Daredevils,Delhi Daredevils_comments,Royal Challengers Bangalore,Royal Challengers Bangalore_comments,Rajasthan Royals,Rajasthan Royals_comments,Kolkata Knight Riders,Kolkata Knight Riders_comments,Kings XI Punjab,Kings XI Punjab_comments,Mumbai Indians,Mumbai Indians_comments,Sunrisers Hyderabad,Sunrisers Hyderabad_comments
0,,0,0,,0,,0,,0,,0,,0,,0,
2,Chennai Super Kings Vs Delhi Daredevils<br>Chennai Super Kings Won,1,0,Chennai Super Kings Vs Delhi Daredevils<br>Delhi Daredevils Lost,2,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,2,Rajasthan Royals Vs Kings XI Punjab<br>Rajasthan Royals Won,2,Mumbai Indians Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,0,Rajasthan Royals Vs Kings XI Punjab<br>Kings XI Punjab Lost,0,Mumbai Indians Vs Kolkata Knight Riders<br>Mumbai Indians Lost,0,Chennai Super Kings Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Lost
4,Chennai Super Kings Vs Sunrisers Hyderabad<br>Chennai Super Kings Won,2,0,Delhi Daredevils Vs Rajasthan Royals<br>Delhi Daredevils Lost,2,Royal Challengers Bangalore Vs Sunrisers Hyderabad<br>Royal Challengers Bangalore Lost,4,Delhi Daredevils Vs Rajasthan Royals<br>Rajasthan Royals Won,2,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Kolkata Knight Riders Lost,2,Kings XI Punjab Vs Mumbai Indians<br>Kings XI Punjab Won,0,Kings XI Punjab Vs Mumbai Indians<br>Mumbai Indians Lost,2,Royal Challengers Bangalore Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Won
4,Chennai Super Kings Vs Kolkata Knight Riders<br>Chennai Super Kings Lost,3,2,Kings XI Punjab Vs Delhi Daredevils<br>Delhi Daredevils Won,2,Mumbai Indians Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,6,Mumbai Indians Vs Rajasthan Royals<br>Rajasthan Royals Won,4,Chennai Super Kings Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,2,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Lost,0,Mumbai Indians Vs Rajasthan Royals<br>Mumbai Indians Lost,2,Sunrisers Hyderabad Vs Rajasthan Royals<br>Sunrisers Hyderabad Lost
6,Mumbai Indians Vs Chennai Super Kings<br>Chennai Super Kings Won,4,4,Delhi Daredevils Vs Sunrisers Hyderabad<br>Delhi Daredevils Won,2,Chennai Super Kings Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,8,Sunrisers Hyderabad Vs Rajasthan Royals<br>Rajasthan Royals Won,6,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,2,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Lost,0,Mumbai Indians Vs Chennai Super Kings<br>Mumbai Indians Lost,2,Delhi Daredevils Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Lost
6,Chennai Super Kings Vs Rajasthan Royals<br>Chennai Super Kings Lost,5,4,Delhi Daredevils Vs Kolkata Knight Riders<br>Delhi Daredevils Lost,4,Rajasthan Royals Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,10,Chennai Super Kings Vs Rajasthan Royals<br>Rajasthan Royals Won,8,Delhi Daredevils Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,4,Rajasthan Royals Vs Kings XI Punjab<br>Kings XI Punjab Won,2,Mumbai Indians Vs Royal Challengers Bangalore<br>Mumbai Indians Won,4,Sunrisers Hyderabad Vs Kolkata Knight Riders<br>Sunrisers Hyderabad Won
8,Chennai Super Kings Vs Royal Challengers Bangalore<br>Chennai Super Kings Won,6,6,Delhi Daredevils Vs Mumbai Indians<br>Delhi Daredevils Won,6,Delhi Daredevils Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,10,Rajasthan Royals Vs Kings XI Punjab<br>Rajasthan Royals Lost,8,Sunrisers Hyderabad Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,4,Chennai Super Kings Vs Kings XI Punjab<br>Kings XI Punjab Lost,2,Delhi Daredevils Vs Mumbai Indians<br>Mumbai Indians Lost,4,Mumbai Indians Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Lost
10,Chennai Super Kings Vs Kings XI Punjab<br>Chennai Super Kings Won,7,6,Delhi Daredevils Vs Royal Challengers Bangalore<br>Delhi Daredevils Lost,7,Royal Challengers Bangalore Vs Rajasthan Royals<br> Draw ,10,Rajasthan Royals Vs Royal Challengers Bangalore<br>Rajasthan Royals Lost,10,Kolkata Knight Riders Vs Delhi Daredevils<br>Kolkata Knight Riders Won,4,Sunrisers Hyderabad Vs Kings XI Punjab<br>Kings XI Punjab Lost,4,Mumbai Indians Vs Sunrisers Hyderabad<br>Mumbai Indians Won,6,Sunrisers Hyderabad Vs Kings XI Punjab<br>Sunrisers Hyderabad Won
12,Chennai Super Kings Vs Kolkata Knight Riders<br>Chennai Super Kings Won,8,6,Kolkata Knight Riders Vs Delhi Daredevils<br>Delhi Daredevils Lost,9,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,11,Royal Challengers Bangalore Vs Rajasthan Royals<br> Draw ,10,Chennai Super Kings Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,4,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Lost,6,Mumbai Indians Vs Rajasthan Royals<br>Mumbai Indians Won,8,Sunrisers Hyderabad Vs Chennai Super Kings<br>Sunrisers Hyderabad Won
12,Sunrisers Hyderabad Vs Chennai Super Kings<br>Chennai Super Kings Lost,9,8,Kings XI Punjab Vs Delhi Daredevils<br>Delhi Daredevils Won,9,Chennai Super Kings Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,11,Mumbai Indians Vs Rajasthan Royals<br>Rajasthan Royals Lost,10,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Kolkata Knight Riders Lost,4,Mumbai Indians Vs Kings XI Punjab<br>Kings XI Punjab Lost,8,Mumbai Indians Vs Kings XI Punjab<br>Mumbai Indians Won,8,Kolkata Knight Riders Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Lost
14,Chennai Super Kings Vs Royal Challengers Bangalore<br>Chennai Super Kings Won,10,8,Rajasthan Royals Vs Delhi Daredevils<br>Delhi Daredevils Lost,11,Royal Challengers Bangalore Vs Kings XI Punjab<br>Royal Challengers Bangalore Won,13,Rajasthan Royals Vs Delhi Daredevils<br>Rajasthan Royals Won,12,Kolkata Knight Riders Vs Sunrisers Hyderabad<br>Kolkata Knight Riders Won,4,Royal Challengers Bangalore Vs Kings XI Punjab<br>Kings XI Punjab Lost,10,Delhi Daredevils Vs Mumbai Indians<br>Mumbai Indians Won,10,Sunrisers Hyderabad Vs Rajasthan Royals<br>Sunrisers Hyderabad Won
14,Chennai Super Kings Vs Mumbai Indians<br>Chennai Super Kings Lost,11,8,Delhi Daredevils Vs Mumbai Indians<br>Delhi Daredevils Lost,13,Royal Challengers Bangalore Vs Mumbai Indians<br>Royal Challengers Bangalore Won,13,Sunrisers Hyderabad Vs Rajasthan Royals<br>Rajasthan Royals Lost,14,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,4,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Lost,12,Chennai Super Kings Vs Mumbai Indians<br>Mumbai Indians Won,12,Sunrisers Hyderabad Vs Delhi Daredevils<br>Sunrisers Hyderabad Won
16,Chennai Super Kings Vs Rajasthan Royals<br>Chennai Super Kings Won,12,8,Sunrisers Hyderabad Vs Delhi Daredevils<br>Delhi Daredevils Lost,13,Kings XI Punjab Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,13,Chennai Super Kings Vs Rajasthan Royals<br>Rajasthan Royals Lost,14,Mumbai Indians Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,4,Sunrisers Hyderabad Vs Kings XI Punjab<br>Kings XI Punjab Lost,12,Royal Challengers Bangalore Vs Mumbai Indians<br>Mumbai Indians Lost,14,Sunrisers Hyderabad Vs Kings XI Punjab<br>Sunrisers Hyderabad Won
16,Chennai Super Kings Vs Delhi Daredevils<br>Chennai Super Kings Lost,13,10,Chennai Super Kings Vs Delhi Daredevils<br>Delhi Daredevils Won,15,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,15,Rajasthan Royals Vs Kolkata Knight Riders<br>Rajasthan Royals Won,14,Rajasthan Royals Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,6,Kings XI Punjab Vs Royal Challengers Bangalore<br>Kings XI Punjab Won,14,Mumbai Indians Vs Kolkata Knight Riders<br>Mumbai Indians Won,14,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Sunrisers Hyderabad Lost
18,Kings XI Punjab Vs Chennai Super Kings<br>Chennai Super Kings Won,14,11,Delhi Daredevils Vs Royal Challengers Bangalore<br> Draw ,16,Delhi Daredevils Vs Royal Challengers Bangalore<br> Draw ,15,Royal Challengers Bangalore Vs Rajasthan Royals<br>Rajasthan Royals Lost,,,6,Kings XI Punjab Vs Chennai Super Kings<br>Kings XI Punjab Lost,16,Sunrisers Hyderabad Vs Mumbai Indians<br>Mumbai Indians Won,14,Sunrisers Hyderabad Vs Mumbai Indians<br>Sunrisers Hyderabad Lost
