match,Sunrisers Hyderabad,Sunrisers Hyderabad_comments,Gujarat Lions,Gujarat Lions_comments,Royal Challengers Bangalore,Royal Challengers Bangalore_comments,Mumbai Indians,Mumbai Indians_comments,Rising Pune Supergiants,Rising Pune Supergiants_comments,Kings XI Punjab,Kings XI Punjab_comments,Kolkata Knight Riders,Kolkata Knight Riders_comments,Delhi Daredevils,Delhi Daredevils_comments
0,0,,0,,0,,0,,0,,0,,0,,0,
1,0,Royal Challengers Bangalore Vs Sunrisers Hyderabad<br>Royal Challengers Bangalore Wins,2,Kings XI Punjab Vs Gujarat Lions<br>Gujarat Lions Wins,2,Royal Challengers Bangalore Vs Sunrisers Hyderabad<br>Royal Challengers Bangalore Wins,0,Mumbai Indians Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,2,Mumbai Indians Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,0,Kings XI Punjab Vs Gujarat Lions<br>Gujarat Lions Wins,2,Delhi Daredevils Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,0,Delhi Daredevils Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins
2,0,Sunrisers Hyderabad Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,6,Mumbai Indians Vs Gujarat Lions<br>Gujarat Lions Wins,2,Royal Challengers Bangalore Vs Delhi Daredevils<br>Delhi Daredevils Wins,2,Mumbai Indians Vs Gujarat Lions<br>Gujarat Lions Wins,2,Rising Pune Supergiants Vs Kings XI Punjab<br>Kings XI Punjab Wins,2,Rising Pune Supergiants Vs Kings XI Punjab<br>Kings XI Punjab Wins,4,Sunrisers Hyderabad Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,4,Royal Challengers Bangalore Vs Delhi Daredevils<br>Delhi Daredevils Wins
3,4,Gujarat Lions Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Wins,6,Gujarat Lions Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Wins,4,Royal Challengers Bangalore Vs Rising Pune Supergiants<br>Royal Challengers Bangalore Wins,4,Delhi Daredevils Vs Mumbai Indians<br>Delhi Daredevils Wins,2,Royal Challengers Bangalore Vs Rising Pune Supergiants<br>Royal Challengers Bangalore Wins,2,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,6,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,6,Delhi Daredevils Vs Mumbai Indians<br>Delhi Daredevils Wins
4,6,Sunrisers Hyderabad Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,10,Gujarat Lions Vs Delhi Daredevils<br>Gujarat Lions Wins,4,Royal Challengers Bangalore Vs Gujarat Lions<br>Gujarat Lions Wins,6,Mumbai Indians Vs Kings XI Punjab<br>Mumbai Indians Wins,4,Sunrisers Hyderabad Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,2,Mumbai Indians Vs Kings XI Punjab<br>Mumbai Indians Wins,8,Rising Pune Supergiants Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,6,Gujarat Lions Vs Delhi Daredevils<br>Gujarat Lions Wins
5,8,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Sunrisers Hyderabad Wins,12,Kings XI Punjab Vs Gujarat Lions<br>Kings XI Punjab Wins,4,Sunrisers Hyderabad Vs Royal Challengers Bangalore<br>Sunrisers Hyderabad Wins,8,Kolkata Knight Riders Vs Mumbai Indians<br>Mumbai Indians Wins,4,Rising Pune Supergiants Vs Gujarat Lions<br>Gujarat Lions Wins,4,Kings XI Punjab Vs Gujarat Lions<br>Kings XI Punjab Wins,8,Delhi Daredevils Vs Kolkata Knight Riders<br>Delhi Daredevils Wins,8,Delhi Daredevils Vs Kolkata Knight Riders<br>Delhi Daredevils Wins
6,10,Gujarat Lions Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Wins,12,Gujarat Lions Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Wins,4,Royal Challengers Bangalore Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,10,Rising Pune Supergiants Vs Mumbai Indians<br>Mumbai Indians Wins,6,Delhi Daredevils Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,4,Kolkata Knight Riders Vs Kings XI Punjab<br>Kolkata Knight Riders Wins,12,Kolkata Knight Riders Vs Kings XI Punjab<br>Kolkata Knight Riders Wins,10,Delhi Daredevils Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins
7,12,Sunrisers Hyderabad Vs Mumbai Indians<br>Sunrisers Hyderabad Wins,14,Kolkata Knight Riders Vs Gujarat Lions<br>Gujarat Lions Wins,6,Rising Pune Supergiants Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Wins,10,Sunrisers Hyderabad Vs Mumbai Indians<br>Sunrisers Hyderabad Wins,6,Rising Pune Supergiants Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Wins,6,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Wins,12,Kolkata Knight Riders Vs Gujarat Lions<br>Gujarat Lions Wins,10,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Wins
8,14,Sunrisers Hyderabad Vs Delhi Daredevils<br>Delhi Daredevils Wins,14,Royal Challengers Bangalore Vs Gujarat Lions<br>Royal Challengers Bangalore Wins,10,Royal Challengers Bangalore Vs Gujarat Lions<br>Royal Challengers Bangalore Wins,12,Mumbai Indians Vs Kings XI Punjab<br>Kings XI Punjab Wins,6,Rising Pune Supergiants Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,8,Mumbai Indians Vs Kings XI Punjab<br>Kings XI Punjab Wins,14,Rising Pune Supergiants Vs Kolkata Knight Riders<br>Kolkata Knight Riders Wins,12,Sunrisers Hyderabad Vs Delhi Daredevils<br>Delhi Daredevils Wins
9,16,Kings XI Punjab Vs Sunrisers Hyderabad<br>Sunrisers Hyderabad Wins,16,Kolkata Knight Riders Vs Gujarat Lions<br>Gujarat Lions Wins,14,Royal Challengers Bangalore Vs Kings XI Punjab<br>Royal Challengers Bangalore Wins,14,Mumbai Indians Vs Delhi Daredevils<br>Mumbai Indians Wins,8,Delhi Daredevils Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins,8,Royal Challengers Bangalore Vs Kings XI Punjab<br>Royal Challengers Bangalore Wins,14,Kolkata Knight Riders Vs Gujarat Lions<br>Gujarat Lions Wins,12,Delhi Daredevils Vs Rising Pune Supergiants<br>Rising Pune Supergiants Wins
